main_multum_drug_code,active_ingredient_code,ingredient_strength_code
1350,4784,5863
1351,4784,5912
1352,4784,6262
1353,4784,6433
1354,4666,5866
1355,4784,6702
1356,4196,6715
1357,4666,5916
1358,4462,6102
1359,4666,6243
1360,4462,6391
1361,4784,6829
1362,4667,5866
1363,4462,6389
1364,4784,5965
1365,4667,5916
1366,4462,6763
1367,4667,6243
1368,4784,6069
1369,4785,5923
1370,4198,6488
1370,4390,6249
1370,4984,6093
1370,5378,6834
1371,4663,5925
1372,4790,5935
1373,4791,5948
1374,4790,6267
1375,4791,6440
1376,4663,6715
1377,4790,6712
1378,4791,6834
1379,4663,5802
1380,4667,5835
1381,4197,5839
1382,4792,6738
1383,4667,5780
1385,4794,5817
1386,4794,5923
1387,4794,6249
1388,4795,6751
1389,4665,5916
1389,5299,5916
1390,4665,5916
1390,5299,6243
1391,4463,6004
1391,5581,6435
1392,4665,5916
1392,5299,6435
1393,4665,5916
1393,5299,6597
1394,4665,5916
1394,5299,6831
1395,4463,5912
1395,5581,6477
1398,4804,6100
1399,4804,6389
1400,4803,6389
1401,4668,6027
1402,4803,6763
1403,4668,6316
1404,4464,7610
1405,4668,6512
1406,4804,6202
1407,4668,6659
1408,4464,5940
1409,4464,6274
1410,4804,6546
1411,4803,6102
1412,4465,6267
1413,4465,6712
1414,4796,5901
1415,4796,5901
1416,4796,6446
1417,4796,6446
1418,4671,6780
1419,4671,6780
1420,4671,6783
1421,4797,5776
1422,4797,5870
1423,4467,6954
1424,4467,6162
1425,4698,2562
1425,4974,2562
1426,4467,6504
1427,4468,6958
1429,4798,6025
1430,4672,5923
1431,4672,5923
1432,4798,6317
1433,4469,6163
1434,4798,6776
1435,4672,5870
1437,4469,6508
1437,4567,6704
1439,4672,5925
1441,4469,7048
1441,4567,6704
1442,4799,6471
1444,4673,5817
1446,4673,5814
1448,4800,5738
1448,5163,5961
1448,5318,6027
1449,4318,5923
1449,4674,6001
1450,4469,5915
1451,4318,6001
1451,4674,6249
1452,4469,5915
1453,4469,5916
1454,4469,5916
1455,4801,5925
1456,4801,5923
2,5278,6219
4,5278,6981
5,5278,6579
6,4142,6704
7,4481,6474
8,4142,6370
9,4481,6927
10,4684,5758
11,4684,5777
12,4684,5781
13,4684,5870
14,4684,5923
15,4684,6249
16,4685,6715
17,4686,5978
18,4686,6291
19,4686,6641
22,4572,6283
24,4572,6370
25,4572,6738
26,4572,5965
27,4572,6739
28,4500,5887
29,4118,6306
31,4118,6651
32,4500,5835
33,4500,5886
34,4500,5908
35,4500,5935
36,4500,6267
37,4119,6538
37,4311,6749
38,4119,6897
38,4311,6749
39,4119,6538
39,4311,6749
40,4119,6897
40,4311,6749
43,4500,5862
43,5051,6306
44,4500,5862
44,5051,6651
48,4155,6749
49,4155,6001
50,4618,5774
54,4745,5915
55,4683,5835
56,4683,5886
57,4203,6749
58,4683,5935
59,4683,6267
60,4745,5916
61,4345,5912
62,4506,6383
63,4745,6703
64,4805,6009
65,4745,6704
67,4204,6496
69,4745,6243
70,4688,6715
71,4323,6301
72,4506,6645
73,4156,6749
80,4443,6658
83,4745,6751
92,17244,5935
93,4689,5949
95,17244,6267
96,4689,6440
97,4206,5773
98,5350,6291
99,4206,5824
102,4206,5865
103,4206,5915
104,4206,5773
105,4206,5915
106,4206,5824
108,4747,5976
109,17244,5886
110,4805,6504
111,4805,6306
112,4747,6249
113,4119,6538
113,4491,6488
115,4747,6712
116,4439,6603
117,4805,6867
119,4690,6377
120,4690,6749
122,4692,6001
123,4692,6651
125,4507,6646
126,4695,6751
127,4696,6001
128,4507,7007
129,4206,5865
130,4697,6306
131,4697,6763
132,4697,6960
133,4698,5730
134,4698,5754
135,4698,5870
136,4816,5870
137,4816,5923
138,4698,6557
138,4704,5923
139,4816,6249
140,4816,6712
141,4816,5976
142,4816,6289
143,4698,6743
143,4704,5923
144,4817,6751
145,4817,6002
147,4818,6250
149,4818,6715
150,5125,6250
151,4619,6715
152,5125,5872
153,4698,6482
153,4974,5802
154,4158,6837
155,5351,6719
157,4158,6283
158,4698,6557
158,5187,5857
160,4698,6557
160,5187,5870
162,5126,6152
163,4698,2562
163,5187,2562
164,5126,6927
166,4698,6557
166,5187,2562
167,4698,6557
167,5187,5923
171,4508,6751
174,4219,5967
175,5127,6001
176,5127,5976
177,4444,6510
178,5127,6291
180,5127,6377
181,4805,6009
181,4835,6719
182,5127,6749
183,5127,6712
184,4508,5976
185,4837,5915
186,4508,6377
189,4619,6377
190,4805,6504
190,4835,6712
191,4222,6023
192,4161,6001
193,5351,5923
194,4698,6284
194,5188,5923
195,4698,6482
195,5188,5948
196,4223,7062
197,5129,5773
198,5129,5773
199,5129,5773
201,5351,6267
202,16731,16732
203,16731,16732
204,4698,6557
204,5190,2562
206,4698,6557
206,5190,5829
207,4119,6538
207,4491,6856
208,4837,6263
209,5133,6282
210,4698,6482
210,5191,5835
211,5351,6712
212,4698,6743
212,5191,5870
213,4223,7009
214,4223,7062
215,5351,5976
216,5351,6289
217,5135,6306
218,5135,6389
219,5135,6504
220,4509,5829
221,5351,6749
222,4119,6089
222,4491,6074
223,4510,5903
224,5136,6152
225,5136,6488
226,5183,6267
227,5183,6845
228,5183,7033
229,5183,5778
230,5136,6291
231,5183,5815
232,5183,5836
233,5183,5858
234,5183,5883
235,5183,5902
236,5183,6715
238,5183,6242
239,5183,5857
240,4510,5978
241,4510,6728
242,5183,5835
243,5183,5857
244,5183,5882
246,4223,6897
246,4311,6749
248,5183,5923
249,5183,6249
250,5183,6272
251,5183,6440
252,5183,6845
255,4447,6763
255,4869,6763
256,5136,5872
258,4567,6704
258,5183,5999
259,4567,6704
259,5183,6304
260,4619,6749
262,4567,6704
262,5183,22071
263,4447,6960
263,4869,6960
264,4805,7005
264,4835,6719
264,5271,6113
264,5284,6719
264,5288,6719
265,5136,5925
266,4447,6389
266,4869,6389
269,4837,6011
271,4838,6377
272,4838,5966
273,4510,6001
274,4251,5976
275,4251,6289
276,4251,6640
277,4448,6306
278,4251,6712
279,4448,6504
280,4448,6651
281,4448,7009
282,4511,5966
284,4251,6712
284,4834,6838
285,4251,5976
285,4834,6081
286,4511,5967
288,4805,6755
288,4835,6270
288,5284,6931
289,4251,6289
289,4834,6377
290,5136,6250
291,4252,6712
292,4252,5976
293,4252,6712
293,5143,6640
294,4252,6712
294,5143,7001
295,4161,6755
296,4252,6608
296,5414,6749
297,5136,6609
298,4510,6597
299,4253,5856
299,4740,5825
300,4119,6089
300,4491,6074
301,5136,6715
304,4805,6009
304,4835,6270
304,5383,6494
305,5136,6982
306,4256,6282
307,4256,5966
309,4805,6311
309,4835,6719
309,5383,6863
312,4515,6306
313,4256,6283
314,4619,6954
315,4515,6651
316,4805,6504
316,4835,6712
