Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
2,120.5,-2.171295888,16.862313656,0.1370570042,13.740743496,14.035354051,14.531000299,15.499922711,16.862313656,18.695202348,19.983997788,21.03668675,22.982577328,24.603327787
2,121.5,-2.158454232,16.911300357,0.1377130391,13.766533898,14.063244558,14.562472338,15.538553291,16.911300357,18.758504859,20.05752615,21.118610629,23.079997876,24.713508102
2,122.5,-2.146051754,16.960622156,0.1383532537,13.792867581,14.091659301,14.594436211,15.577611268,16.960622156,18.822016982,20.131176192,21.200585205,23.177341493,24.823510501
2,123.5,-2.134084303,17.010264304,0.1389775374,13.819737715,14.120590705,14.626883073,15.617085307,17.010264304,18.885719804,20.204926574,21.282587568,23.274583578,24.933310419
2,124.5,-2.122547629,17.060212133,0.1395857952,13.847137311,14.150031057,14.659803981,15.65696405,17.060212133,18.949594645,20.278756292,21.364595227,23.371700099,25.04288396
2,125.5,-2.111437411,17.110451055,0.1401779469,13.875059221,14.179972506,14.69318989,15.697236113,17.110451055,19.013623053,20.352644676,21.446586109,23.468667584,25.1522079
2,126.5,-2.100749266,17.160966564,0.1407539274,13.903496139,14.210407062,14.727031656,15.737890083,17.160966564,19.077786808,20.426571391,21.528538558,23.56546313,25.261259684
2,127.5,-2.090478774,17.211744236,0.1413136859,13.932440598,14.2413266,14.761320031,15.778914521,17.211744236,19.142067919,20.500516439,21.610431341,23.662064395,25.370017427
2,128.5,-2.080621484,17.262769728,0.1418571858,13.961884973,14.272722855,14.796045668,15.82029796,17.262769728,19.206448627,20.574460154,21.692243641,23.758449602,25.478459916
2,129.5,-2.071172932,17.314028776,0.1423844043,13.991821482,14.304587427,14.831199119,15.862028908,17.314028776,19.270911401,20.648383208,21.773955058,23.854597539,25.586566609
2,130.5,-2.062128649,17.365507199,0.1428953318,14.022242183,14.336911777,14.866770835,15.904095844,17.365507199,19.335438943,20.722266606,21.855545616,23.950487558,25.694317634
2,131.5,-2.053484173,17.417190895,0.143389972,14.053138976,14.369687229,14.902751164,15.946487218,17.417190895,19.400014184,20.79609169,21.936995752,24.046099573,25.801693793
2,132.5,-2.045235058,17.469065845,0.1438683412,14.084503604,14.402904971,14.939130356,15.989191457,17.469065845,19.464620284,20.869840136,22.018286325,24.141414065,25.908676558
2,133.5,-2.03737688,17.52111811,0.1443304685,14.116327651,14.436556052,14.975898557,16.032196956,17.52111811,19.529240638,20.943493956,22.099398612,24.236412075,26.015248074
2,134.5,-2.029906684,17.573333469,0.1447763715,14.148603066,14.470631805,15.013046071,16.075492051,17.573333469,19.593858264,21.017034888,22.180313815,24.331075256,26.121392012
2,135.5,-2.022817914,17.625698688,0.1452061381,14.181320323,14.505122367,15.050562451,16.119065133,17.625698688,19.658457924,21.090446529,22.261014785,24.4253857,26.227090562
2,136.5,-2.016107084,17.678199868,0.1456198193,14.214470838,14.540018622,15.088437692,16.162904499,17.678199868,19.723023361,21.163711548,22.341483772,24.519326162,26.332328374
2,137.5,-2.009769905,17.730823397,0.1460174906,14.248045559,14.575311069,15.126661536,16.206998438,17.730823397,19.787538893,21.2368133,22.421703726,24.612879933,26.437090271
2,138.5,-2.003802134,17.783555746,0.1463992386,14.282035277,14.610990067,15.165223623,16.251335212,17.783555746,19.851989073,21.309735477,22.501658014,24.706030862,26.54136175
2,139.5,-1.998199572,17.836383471,0.1467651605,14.31643062,14.647045838,15.204113491,16.295903054,17.836383471,19.916358689,21.38246211,22.581330425,24.798763363,26.645128974
2,140.5,-1.992958064,17.889293209,0.1471153639,14.351222058,14.683468464,15.243320574,16.340690171,17.889293209,19.980632762,21.454977564,22.660705166,24.891062407,26.748378778
2,141.5,-1.988073505,17.942271684,0.1474499668,14.386399899,14.720247888,15.282834206,16.385684746,17.942271684,20.044796548,21.527266545,22.739766862,24.982913526,26.851098665
2,142.5,-1.983541835,17.995305704,0.1477690965,14.42195429,14.757373914,15.322643618,16.430874933,17.995305704,20.108835539,21.599314096,22.818500558,25.074302811,26.953276807
2,143.5,-1.979359041,18.048382162,0.1480728906,14.457875217,14.794836204,15.362737939,16.476248861,18.048382162,20.172735461,21.671105598,22.896891716,25.165216914,27.054902046
2,144.5,-1.975521156,18.101488036,0.1483614954,14.494152502,14.832624281,15.403106193,16.521794632,18.101488036,20.236482278,21.742626772,22.974926221,25.255643043,27.155963891
2,145.5,-1.972024258,18.154610394,0.1486350668,14.530775807,14.870727527,15.443737306,16.567500325,18.154610394,20.300062191,21.813863676,23.052590371,25.345568966,27.256452521
2,146.5,-1.968864465,18.207736386,0.1488937694,14.567734629,14.909135184,15.484620095,16.61335399,18.207736386,20.363461637,21.884802708,23.129870888,25.434983007,27.356358781
2,147.5,-1.966037938,18.260853253,0.1491377764,14.605018301,14.947836351,15.52574328,16.659343656,18.260853253,20.426667293,21.955430607,23.20675491,25.523874049,27.455674187
2,148.5,-1.963540872,18.313948324,0.1493672695,14.642615994,14.986819986,15.567095474,16.705457324,18.313948324,20.489666074,22.02573445,23.283229994,25.612231528,27.55439092
2,149.5,-1.961369499,18.367009017,0.1495824386,14.680516712,15.026074904,15.608665187,16.751682972,18.367009017,20.552445135,22.095701657,23.359284118,25.700045441,27.652501829
2,150.5,-1.959520079,18.420022839,0.1497834816,14.718709295,15.065589778,15.650440826,16.798008553,18.420022839,20.61499187,22.165319987,23.434905677,25.787306336,27.750000429
2,151.5,-1.9579889,18.472977388,0.1499706043,14.757182414,15.105353137,15.692410697,16.844421999,18.472977388,20.677293916,22.23457754,23.510083486,25.874005319,27.846880903
2,152.5,-1.956772271,18.525860352,0.1501440201,14.795924576,15.145353366,15.734562997,16.890911214,18.525860352,20.739339151,22.303462758,23.584806779,25.960134049,27.943138099
2,153.5,-1.95586652,18.578659513,0.1503039498,14.83492412,15.185578709,15.776885824,16.937464082,18.578659513,20.801115694,22.371964427,23.659065209,26.045684738,28.03876753
2,154.5,-1.955267984,18.631362745,0.1504506214,14.874169215,15.22601726,15.819367168,16.984068463,18.631362745,20.862611908,22.440071674,23.732848848,26.130650155,28.133765375
2,155.5,-1.954973011,18.683958013,0.1505842702,14.913647861,15.266656971,15.861994917,17.030712195,18.683958013,20.923816402,22.507773969,23.806148189,26.215023617,28.228128478
2,156.5,-1.954977947,18.736433381,0.1507051384,14.953347891,15.307485648,15.904756854,17.077383093,18.736433381,20.984718028,22.575061126,23.878954143,26.298798997,28.321854345
2,157.5,-1.955279136,18.788777004,0.1508134748,14.993256963,15.34849095,15.947640656,17.124068951,18.788777004,21.045305885,22.641923303,23.951258042,26.381970718,28.414941148
2,158.5,-1.955872909,18.840977134,0.1509095352,15.033362567,15.389660389,15.990633897,17.170757542,18.840977134,21.105569316,22.708351005,24.023051637,26.464533755,28.507387718
